"employee_id","has_relevant_field","highest_edu","last_edu_year","degreeNumber"
"t_1057",1,"master",2020,2
"t_10570",1,"bachelor",2016,2
"t_10571",0,"bachelor",2014,2
"t_10572",1,"master",2018,1
"t_10573",0,"master",2014,2
"t_10574",0,"master",2014,2
"t_10575",1,"master",2007,3
"t_10576",0,"master",2021,2
"t_10577",0,"bachelor",2019,2
"t_10578",1,"master",2019,2
"t_10579",1,"master",2020,1
"t_1058",1,"phd",2021,6
"t_10580",0,"bachelor",2020,2
"t_10581",0,"master",2016,2
"t_10582",0,"phd",2016,2
"t_10583",1,"bachelor",2020,2
"t_10584",0,"master",2022,2
"t_10585",0,"master",1985,2
"t_10586",0,"master",2021,1
"t_10587",1,"master",2016,2
"t_10588",0,"master",2015,2
"t_10589",1,"master",2022,2
"t_1059",1,"bachelor",2020,3
"t_10590",0,"master",2019,1
"t_10591",0,"master",2017,2
"t_10592",0,"master",2022,2
"t_10593",0,"master",2010,2
"t_10594",1,"master",2021,3
"t_10595",0,"bachelor",2020,1
"t_10596",0,"master",2011,3
"t_10597",1,"master",2019,2
"t_10598",0,"master",2007,1
"t_10599",0,"bachelor",2016,2
"t_106",1,"phd",2014,3
"t_1060",1,"bachelor",2019,3
"t_10600",1,"phd",2022,3
"t_10601",0,"master",2020,2
"t_10602",1,"master",2022,2
"t_10603",1,"master",2020,2
"t_10604",0,"bachelor",2015,1
"t_10605",0,"phd",2022,3
"t_10606",1,"master",2017,1
"t_10607",0,"master",2013,2
"t_10608",0,"master",2022,2
"t_10609",1,"master",2021,2
"t_1061",0,"master",2021,2
"t_10610",0,"master",2019,2
"t_10612",1,"master",2006,2
"t_10615",1,"master",2015,2
"t_10616",0,"phd",2012,2
"t_10617",1,"master",2019,2
"t_10618",0,"bachelor",2020,1
"t_1062",0,"master",2019,2
"t_10620",0,"master",2018,1
"t_10621",1,"master",2019,2
"t_10622",0,"master",2020,3
"t_10624",0,"master",1999,1
"t_10625",0,"master",1998,1
"t_10627",0,"master",2010,3
"t_10629",1,"master",2021,3
"t_1063",1,"phd",2015,3
"t_10630",0,"master",2022,3
"t_10631",0,"master",2022,2
"t_10632",0,"master",2010,2
"t_10633",0,"master",2021,2
"t_10634",1,"master",2019,3
"t_10635",1,"phd",2007,3
"t_10636",1,"master",2019,2
"t_10637",1,"master",2017,2
"t_10638",1,"phd",2018,4
"t_10639",0,"master",2002,1
"t_1064",1,"bachelor",2014,2
"t_10640",0,"master",2017,2
"t_10641",0,"master",2013,2
"t_10642",0,"master",2022,2
