,company
1302,17908204
1303,430503
1304,430503
1305,17908204
1306,17908204
1307,162602
1308,283218
1309,745720
1310,3316450
1311,211148
1312,211148
1313,166870
1314,5050421
1315,5861980
1316,3336139
1317,4868834
1318,17908204
1319,1347021
1320,18196973
1321,18196973
1322,994635
1323,2374991
1324,9187206
1325,17915125
1326,10471360
1327,1069814
1328,24119786
1329,1018513
1330,2828
1331,17947
1332,13275
1333,633973
1334,164365
1335,26195
1336,26195
1337,26195
1338,7198
1339,1140611
1340,570870
1341,27139
1342,285447
1343,18557274
1344,5694357
1345,25446
1346,207470
1347,207470
1348,4371
1349,17908204
1350,2870766
1351,2449847
1352,17908204
1353,17908204
1354,27861
1355,11486158
1356,10489046
1357,1044468
1358,1757171
1359,4371
1360,10458700
1361,436551
1362,2710875
1363,1438423
1364,1438423
1365,1438423
1366,1438423
1367,50274
1368,17908204
1369,6128
1370,6128
1371,14403
1372,2313012
1373,3249896
1374,5362236
1375,20558874
1376,10004961
1377,1484
1378,757392
1379,757392
1380,4160
1381,11486158
1382,1993108
1383,17915125
1384,10180429
1385,10180429
1386,1069814
1387,37401
1388,1603471
1389,700369
1390,24055450
1391,1523089
1392,1523089
1393,1523089
1394,15096864
1395,68783650
1396,68783650
1397,5362097
1398,17908204
1399,22650579
1400,10489046
1401,166698
1402,20790
1403,17908204
1404,10169278
1405,9360212
1406,17915125
1407,64875592
1408,64875592
1409,10180429
1410,35687540
1411,166704
1412,166704
1413,2921722
1414,2921722
1415,1140611
1416,1705237
1417,10853457
1418,79324818
1419,633973
1420,3316450
1421,71424
1422,71424
1423,3105130
1424,3200474
1425,78131929
1426,18196973
1427,17908204
1428,73796167
1429,15786
1430,14504518
1431,14504518
1432,1529979
1433,25156178
1434,740718
1435,79138562
1436,79138562
1437,10489046
1438,166698
1439,72749564
1440,3433
1441,162761
1442,162761
1443,162761
1444,26480420
1445,9205472
1446,2873897
1447,2873897
1448,9355193
1449,17915125
1450,165977
1451,3241935
1452,3241935
1453,28172599
1454,15516
1455,545733
1456,545733
1457,10913393
1458,4827017
1459,17908204
1460,14975
1461,14975
1462,17912476
1463,633973
1464,86600425
1465,2118530
1466,167698
1467,719889
1468,18196973
1469,4815
1470,1523089
1471,24091498
1472,11324622
1473,166701
1474,10841578
1475,220708
1476,4160
1477,18240168
1478,28446
1479,40888666
1480,271020
1481,271020
1482,43589
1483,687472
1484,17977376
1485,17977376
1486,17977376
1487,1221536
1488,9552225
1489,15091826
1490,314113
1491,27087197
1492,55693
1493,74234365
1494,18891548
1495,18891548
1496,18892510
1497,1011311
1498,1137069
1499,134444
1500,164520
1501,9418033
1502,15142913
1503,17908204
1504,153167
1505,153167
1506,153167
1507,27159855
1508,2406371
1509,43589
1510,75920
1511,107335
1512,73954
1513,10568034
1514,5372773
1515,3572850
1516,153167
1517,649176
1518,1354054
1519,432169
1520,15094704
1521,9484417
1522,13143
1523,2449847
1524,2743599
1525,17908204
1526,211201
1527,285447
1528,125113
1529,18196973
1530,10042261
1531,10042261
1532,166704
1533,166704
1534,71489104
1535,18196973
1536,1523089
1537,1523089
1538,478669
1539,633973
1540,633973
1541,633973
1542,10866
1543,10489046
1544,3315365
1545,727943
1546,239078
1547,1324917
1548,31896969
1549,1337177
1550,26195
1551,26195
1552,633973
1553,1705237
1554,5176986
1555,10528028
1556,2870766
1557,24296008
1558,214442
1559,214442
1560,43589
1561,43589
1562,570870
1563,294635
1564,555666
1565,464986
1566,1564852
1567,166626
1568,45653
1569,799802
1570,580619
1571,1647963
1572,18196973
1573,3234973
1574,166698
1575,17908204
1576,5260058
1577,10815157
1578,570870
1579,214442
1580,17908204
1581,1595546
1582,26195
1583,2515234
1584,11521185
1585,27902481
1586,17908204
1587,10411928
1588,17914952
1589,37068170
1590,3030694
1591,8986
1592,2515234
1593,5371002
1594,5371002
1595,17908204
1596,10216489
1597,633973
1598,633973
1599,633973
1600,12919090
1601,3954
1602,610087
1603,10524423
1604,17908204
1605,285447
1606,43589
1607,43589
1608,43589
1609,43589
1610,694243
1611,2947546
1612,3305
1613,745018
1614,2515234
1615,1349
1616,6573967
1617,43589
1618,28437630
1619,18386620
1620,15093955
