"employee_id","promote_level_1","promote_level_2","time_work","promote_general","intern","num_job","num_company"
"t_596",0,1,2450,1,0,3,3
"t_597",0,0,1569,0,0,1,1
"t_598",0,0,1508,0,0,3,2
"t_599",0,0,959,0,0,2,2
"t_600",0,0,685,0,0,2,2
"t_601",0,0,198,0,0,1,1
"t_603",0,0,928,0,0,1,1
"t_604",0,0,777,0,0,3,1
"t_605",0,0,594,0,0,2,1
"t_606",0,0,1066,0,0,3,1
"t_607",0,0,1673,0,0,4,4
"t_608",0,0,1522,0,0,3,2
"t_609",0,0,1416,0,0,1,1
"t_610",0,0,443,0,0,1,1
"t_611",0,0,655,0,0,3,2
"t_612",0,0,3212,0,0,3,1
"t_613",0,0,701,0,0,1,1
"t_614",0,0,1430,0,1,1,1
"t_615",1,1,1764,1,0,3,2
"t_616",0,0,1294,0,0,1,1
"t_617",0,0,1843,0,0,3,3
"t_618",0,0,2695,0,0,3,1
"t_619",0,1,2969,1,0,3,3
"t_620",0,0,959,0,0,1,1
"t_622",0,0,274,0,0,1,1
"t_623",0,0,808,0,0,3,3
"t_624",0,0,1142,0,0,4,3
"t_625",1,0,5830,1,0,4,4
"t_626",0,0,1020,0,0,1,1
"t_627",0,0,685,0,0,1,1
"t_629",0,0,4522,0,0,3,2
"t_630",0,0,655,0,1,2,2
"t_631",0,0,2146,0,1,3,2
"t_632",0,0,685,0,0,1,1
"t_633",0,0,259,0,0,2,2
"t_634",0,0,638,0,0,1,1
"t_635",0,0,517,0,0,3,3
"t_637",0,1,655,1,0,2,2
"t_639",0,0,4400,0,0,2,2
"t_640",0,0,320,0,0,1,1
"t_642",0,0,242,0,0,1,1
"t_643",0,0,2358,0,0,4,4
"t_644",0,0,808,0,0,3,1
"t_645",0,0,1796,0,0,4,4
"t_646",0,0,989,0,1,2,1
"t_647",0,0,NA,0,0,1,1
"t_648",0,0,320,0,0,1,1
"t_649",0,1,305,1,0,1,1
"t_650",0,0,1355,0,0,3,2
"t_651",0,0,1308,0,0,2,2
"t_652",1,0,1857,1,0,3,1
"t_653",0,0,1234,0,0,3,2
"t_654",0,0,2450,0,0,1,1
"t_655",0,1,2085,1,0,3,2
"t_656",0,0,1294,0,1,2,2
"t_657",0,0,716,0,0,2,2
"t_659",0,0,685,0,0,1,1
"t_660",0,0,31,0,1,1,1
"t_661",0,0,1934,0,0,3,3
"t_662",0,0,1050,0,0,1,1
"t_663",0,0,700,0,0,3,2
"t_664",0,1,2299,1,0,3,3
"t_666",1,0,563,1,0,2,1
"t_667",0,0,1781,0,1,3,3
"t_668",0,0,2024,0,0,2,2
"t_669",0,0,1843,0,0,2,2
"t_671",0,0,320,0,1,2,2
"t_672",0,0,1569,0,0,1,1
"t_673",0,0,1659,0,0,3,2
"t_674",0,0,624,0,1,1,1
"t_675",0,0,1751,0,0,3,1
"t_676",0,0,1628,0,0,3,3
"t_677",0,0,685,0,0,1,1
"t_678",0,0,516,0,0,4,4
"t_679",0,0,3562,0,0,3,3
"t_680",0,0,NA,0,0,2,2
"t_681",0,0,2800,0,0,2,1
"t_683",0,0,1416,0,1,2,1
"t_684",0,0,3120,0,0,3,3
"t_685",0,0,655,0,0,2,1
"t_686",0,0,915,0,1,1,1
"t_687",0,0,3212,0,0,2,2
"t_688",0,0,1993,0,0,5,4
"t_689",0,0,730,0,0,1,1
"t_690",0,0,532,0,0,1,1
"t_691",0,0,198,0,0,1,1
"t_693",0,0,1751,0,0,2,2
"t_694",0,0,2922,0,0,3,3
"t_695",0,0,777,0,0,1,1
"t_696",0,0,2299,0,0,1,1
"t_697",0,0,1355,0,0,1,1
"t_698",0,0,320,0,0,1,1
"t_699",0,1,1203,1,0,2,1
"t_700",0,0,3607,0,0,2,2
"t_701",0,0,1873,0,0,4,4
"t_702",0,0,655,0,0,1,1
"t_703",1,0,2146,1,0,5,5
"t_705",0,0,1781,0,0,2,2
"t_706",0,0,1081,0,0,2,2
"t_707",0,0,1873,0,0,1,1
"t_709",0,0,3638,0,0,3,3
"t_710",0,0,563,0,0,1,1
"t_711",0,0,10547,0,0,3,3
"t_712",0,0,2146,0,1,1,1
"t_713",1,0,3334,1,0,3,2
"t_714",0,0,4491,0,0,2,2
"t_715",0,0,1081,0,0,2,1
"t_716",1,0,1569,1,0,2,2
"t_717",0,0,214,0,0,1,1
"t_718",0,0,897,0,0,1,1
"t_719",0,0,1050,0,1,2,1
"t_720",1,0,3334,1,0,4,4
"t_721",0,0,9056,0,0,1,1
"t_722",0,0,1478,0,0,5,5
"t_723",0,0,685,0,0,1,1
"t_724",0,0,1173,0,0,3,2
"t_725",0,1,2238,1,0,4,3
"t_726",0,0,1993,0,0,3,3
"t_727",0,0,62,0,0,1,1
"t_728",0,1,2908,1,0,3,2
"t_729",0,0,1325,0,0,3,3
"t_733",0,0,3577,0,0,2,1
"t_734",1,0,563,1,0,1,1
"t_735",0,0,0,0,0,1,1
"t_737",0,0,92,0,0,1,1
"t_738",0,0,2877,0,0,1,1
"t_739",0,0,1965,0,0,2,2
"t_740",0,0,NA,0,0,1,1
"t_741",0,0,1600,0,0,4,2
"t_742",0,0,3242,0,0,4,3
"t_743",1,0,1812,1,0,5,4
"t_744",0,0,928,0,0,2,1
"t_745",0,0,3061,0,0,3,3
"t_746",0,0,443,0,1,1,1
"t_747",0,0,1539,0,0,2,1
"t_748",0,0,3485,0,0,3,3
"t_749",0,1,1400,1,0,2,2
"t_750",1,0,2511,1,0,2,1
"t_751",0,0,504,0,1,1,1
"t_752",0,0,1203,0,0,2,1
"t_754",0,0,1520,0,0,2,2
"t_755",0,0,351,0,0,1,1
"t_756",0,0,1416,0,0,2,1
"t_757",0,0,518,0,1,1,1
"t_758",0,0,685,0,0,4,1
"t_759",0,0,1416,0,0,2,2
"t_760",0,0,320,0,1,1,1
"t_761",0,0,259,0,0,1,1
"t_762",0,0,730,0,0,1,1
"t_763",0,0,2634,0,1,2,2
"t_765",1,0,5769,1,0,3,2
"t_766",0,0,2511,0,0,3,3
"t_767",0,1,3577,1,0,4,4
"t_768",0,0,1431,0,0,1,1
"t_769",1,0,808,1,0,3,2
"t_770",0,0,1447,0,0,1,1
"t_771",0,0,975,0,0,2,2
"t_772",0,0,2450,0,0,1,1
"t_773",0,0,1279,0,0,2,2
"t_774",0,0,320,0,0,1,1
"t_775",1,0,2358,1,0,2,1
"t_776",1,1,2603,1,0,4,3
"t_777",0,1,427,1,0,1,1
"t_778",0,0,6864,0,0,1,1
"t_779",0,0,1234,0,1,2,2
"t_780",0,0,928,0,0,1,1
"t_781",0,0,1781,0,0,5,4
"t_782",0,0,1308,0,0,1,1
"t_783",0,0,2511,0,0,3,3
"t_784",0,0,3334,0,0,4,3
"t_785",0,0,1234,0,0,2,2
